Test Name,positive,negative,ckpt_name,clip_skip,empty_latent_width,empty_latent_height,noise_seed,steps,cfg,sampler_name,scheduler
10_,"pirosmaniai, a drawing of a starry sky in a night scene, in the style of whimsical scenes, natureinspired imagery, impressive panoramas, tangled nests, large house and temple,skyblue and orange, leaf patterns, hauntingly beautiful ","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,euler_ancestral,karras
11_,"graphic novel style, Fiona belli, haunting ground, surrounded by white wolf pack hewie, in castle garden, high detail ","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,768,2131321,30,6,euler_ancestral,karras
11_,"pirosmaniai, graphic novel style, Fiona belli, haunting ground, surrounded by white wolf pack hewie, in castle garden, high detail ","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,768,2131321,30,6,euler_ancestral,karras
12_,"A cute teenaged girl detectvive with green eyes and pink hair with a bue bow n one side wearing a Japanese school unifom in one hand and excitedly pointing at an angle and forward with her other hand. Visibly VERY excited. School hallway background.Vector graphic illustration in the art style of Studio Ghibli,8k ","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,111,30,5.5,euler_ancestral,karras
13_,"pirosmaniai, mature woman, pink puppy ears, light brown hair, goth dress, floating above earth, in space, sad, lonely, upset, describe these lyrics i feel the world spinning without me, im lost inside an endless void, im all alone within my body, all my thoughts leave me annoyed","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,768,111,30,5.5,euler_ancestral,karras
14_,"pirosmaniai, A beautiful 40 year old Namibian Woman, in the style of artist Studio Ghibli, She is a scientist, wearing glasses, a lab coat, and high heels, standing in a natural laboratory with beautiful plants everywhere and a futuristic theme, ","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,768,512,1111,30,5.5,euler_ancestral,karras
15_,"pirosmaniai, An abandoned alchemy lab, overgrown surfaces, beakers, bunson burners, chemistry gear, post apocalyptic, painting by Kim Hyung Tae","ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",1_bloody_mary_v1.safetensors,-1,512,512,545454,30,7,euler_ancestral,karras
16a,a humanoid squirrel throwing a grenade. He's in a tree and holding the grenade pin,"nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,151321,30,5.5,euler_ancestral,karras
17s,"pirosmaniai, a man with dark hair and beard in fighting stance with his katana, Tokyo street’s background, full body, dark anime art style","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,euler_ancestral,karras
18a,"pirosmaniai, A smiling super hero nurse who is writing down food orders as The Oracle of Orders using the brilliantly sparkling psychedelic colors of forever!","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,1312321,30,6,euler_ancestral,karras
19q,"a young woman who lives in Dublin with her abusive father and her two younger siblings. She has had a challenging and often unhappy life, 19th century style, cartoon illustration ","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,768,512,2131321,30,6,euler_ancestral,karras
20asd,"pirosmaniai, A blend of comic book art and lineart full of natural color, a beautiful woman wearing a steampunk outfit, red bandana on head, futuristic city scape in background, nighttime, the best quality, masterpiece, high-resolution, acrylic painting, trending on Pixiv fan box, palette knife, and brush strokes, style of WLOP, Jamie Wyeth James Gillard edward hopper Greg Rutkowski studio ghibli","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,111,30,5.5,euler_ancestral,karras
21asda,"Doomsday, spaceship wreckage, girl riding a road bike, back view, Golden Ratio, Steampunk, hyperrealism, cinematic painting","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,111,30,5.5,euler_ancestral,karras
22asdasd,"pirosmaniai, portrait of a female tiefling pirate, long blue hair in braids, rose pink skin, short horns, dungeons and dragons character, fantasy concept art, nordic, viking inspired, critical role, legend of vox machina","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,1111,30,5.5,euler_ancestral,karras
23asdasd,"masterpiece highly detailed best image possible Watercolor wallpaer. A castle on the back of tiger walkng though morning sunlit field.Pastel colors.Vector graphic illustration in the style of Studio Ghibli,8k ","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,545454,30,7,euler_ancestral,karras
21asda,"Hello Kitty wearing a pink kimono, full body, with a red bow, standing next to a cherry blossom tree, clear sky, traditional Japanese garden in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,1111,30,5.5,euler_ancestral,karras
22asdasd,"Doraemon with a gadget in hand, blue robotic cat, full body, standing on a futuristic hoverboard, neon city lights in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,768,512,545454,30,7,euler_ancestral,karras
23asdasd,"Pikachu with a lightning bolt tail, full body, wearing a detective hat (a nod to Detective Pikachu), dark alleyway, glowing Pokémon signs in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,151321,30,5.5,euler_ancestral,karras
21asda,"Totoro holding an umbrella, full body, with small soot sprites around, lush green forest, a bus stop sign in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,1312321,30,6,euler_ancestral,karras
22asdasd,"Mario with his iconic red hat, full body, holding a super mushroom, brick blocks floating, Bowser's castle in the distance.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,euler_ancestral,karras
23asdasd,"Kumamon dancing, full body, wearing a festival yukata, paper lanterns around, night sky, fireworks in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,2131321,30,6,euler_ancestral,karras
21asda,"Funassyi playing a guitar, full body, pear fairy jumping energetically, vibrant stage, cheering crowd in the background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,768,512,111,30,5.5,euler_ancestral,karras
22asdasd,"Rilakkuma lounging, full body, with a cushion, next to a warm fireplace, wooden interior, tea set on a table nearby.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,111,30,5.5,euler_ancestral,karras
23asdasd,"Gudetama lazily draped over a spatula, egg yolk with a visible butt, sunny-side up, breakfast setting, morning kitchen background.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,768,1111,30,5.5,euler_ancestral,karras
21asda,"Aggretsuko in her office attire, full body, clutching a microphone, office desk cluttered with papers, intense stage lights highlighting her metal persona.","nsfw, worst quality, deformed, low quality, bad",1_bloody_mary_v1.safetensors,-1,512,512,545454,30,7,euler_ancestral,karras
22asdasd,"pirosmaniai, Hello Kitty wearing a pink kimono, full body, with a red bow, standing next to a cherry blossom tree, clear sky, traditional Japanese garden in the background.",,1_bloody_mary_v1.safetensors,-1,512,512,1111,30,5.5,euler_ancestral,karras
23asdasd,"pirosmaniai, Doraemon with a gadget in hand, blue robotic cat, full body, standing on a futuristic hoverboard, neon city lights in the background.",,1_bloody_mary_v1.safetensors,-1,512,768,545454,30,7,euler_ancestral,karras
21asda,"pirosmaniai, Pikachu with a lightning bolt tail, full body, wearing a detective hat (a nod to Detective Pikachu), dark alleyway, glowing Pokémon signs in the background.",,1_bloody_mary_v1.safetensors,-1,768,512,151321,30,5.5,euler_ancestral,karras
22asdasd,"pirosmaniai, Totoro holding an umbrella, full body, with small soot sprites around, lush green forest, a bus stop sign in the background.",,1_bloody_mary_v1.safetensors,-1,512,512,1312321,30,6,euler_ancestral,karras
23asdasd,"pirosmaniai, Mario with his iconic red hat, full body, holding a super mushroom, brick blocks floating, Bowser's castle in the distance.",,1_bloody_mary_v1.safetensors,-1,512,768,1312321,30,6,euler_ancestral,karras
21asda,"pirosmaniai, Kumamon dancing, full body, wearing a festival yukata, paper lanterns around, night sky, fireworks in the background.",,1_bloody_mary_v1.safetensors,-1,512,512,2131321,30,6,euler_ancestral,karras
22asdasd,"pirosmaniai, Funassyi playing a guitar, full body, pear fairy jumping energetically, vibrant stage, cheering crowd in the background.",,1_bloody_mary_v1.safetensors,-1,512,768,111,30,5.5,euler_ancestral,karras
23asdasd,"pirosmaniai, Rilakkuma lounging, full body, with a cushion, next to a warm fireplace, wooden interior, tea set on a table nearby.",,1_bloody_mary_v1.safetensors,-1,768,512,111,30,5.5,euler_ancestral,karras
21asda,"pirosmaniai, Gudetama lazily draped over a spatula, egg yolk with a visible butt, sunny-side up, breakfast setting, morning kitchen background.",,1_bloody_mary_v1.safetensors,-1,512,512,1111,30,5.5,euler_ancestral,karras
22asdasd,"pirosmaniai, Aggretsuko in her office attire, full body, clutching a microphone, office desk cluttered with papers, intense stage lights highlighting her metal persona.",,1_bloody_mary_v1.safetensors,-1,512,768,545454,30,7,euler_ancestral,karras
